dataset,model,box_mAP@50,box_mAP@50-95,box_mean_f1,box_mean_precision,box_mean_recall,seg_mAP@50,seg_mAP@50-95,seg_mean_f1,seg_mean_precision,seg_mean_recall
CVC-ColonDB,rtdetr,0.970369367575162,0.7119364349580325,0.9069057738501248,0.8970241329604154,0.9170075526039224,,,,,
CVC-ColonDB,yolo8,0.968502551020408,0.7546396008458593,0.9557522123893804,0.9642857142857144,0.9473684210526316,,,,,
CVC-ColonDB,yolo9,0.9907,0.733291451697486,0.991150442477876,1.0,0.9824561403508772,,,,,
CVC-ColonDB,yolo10,0.8971405465164789,0.6499081049432343,0.8703703703703703,0.9215686274509804,0.8245614035087719,,,,,
CVC-ColonDB,yolo11,0.9441298076923076,0.6967732027585696,0.9357798165137614,0.9807692307692308,0.8947368421052632,,,,,
CVC-ColonDB,yolo12,0.9452051884700664,0.7416951764516108,0.9464285714285716,0.9636363636363636,0.9298245614035088,,,,,
CVC-ColonDB,yoloe,0.9235162499999996,0.699532157016953,0.9158878504672898,0.98,0.8596491228070176,0.9235162499999996,0.7416882052257161,0.9158878504672898,0.98,0.8596491228070176
CVC-ColonDB,yolow,0.950595160839161,0.6836881963943511,0.935076831889578,0.9792260931415436,0.8947368421052632,,,,,
CVC-ColonDB,yolo26,0.9376894599972336,0.6196155787416672,0.8767868995140419,0.891256679675652,0.8627794543889128,,,,,
