dataset,model,box_mAP@50,box_mAP@50-95,box_mean_f1,box_mean_precision,box_mean_recall,seg_mAP@50,seg_mAP@50-95,seg_mean_f1,seg_mean_precision,seg_mean_recall
CVC-ClinicDB,rtdetr,0.889084837,0.655584047,0.866088313,0.847585794,0.885416667,,,,,
CVC-ClinicDB,yolo8,0.988849376,0.847419874,0.983729597,0.988335254,0.979166667,,,,,
CVC-ClinicDB,yolo9,0.991889155,0.83003127,0.979208264,0.969048487,0.989583333,,,,,
CVC-ClinicDB,yolo10,0.96456531,0.804624052,0.950035699,0.974153407,0.927083333,,,,,
CVC-ClinicDB,yolo11,0.994691752,0.83315778,0.989690722,0.979591837,1,,,,,
CVC-ClinicDB,yolo12,0.992295918,0.846797919,0.989167465,0.979570712,0.998954115,,,,,
CVC-ClinicDB,yoloe,0.949712345,0.731634639,0.943480805,0.976890574,0.912280702,0.949712345,0.773475372,0.943480805,0.976890574,0.912280702
CVC-ClinicDB,yolow,0.992713095,0.866433492,0.984455959,0.979381443,0.989583333,,,,,
CVC-ClinicDB,yolo26,0.994297895,0.814126157,0.988754591,0.989566082,0.987944429,,,,,
